state,district,cluster_label,total_bio,ratio_5_17,ratio_17_plus,key_insight,recommendation,lat,lng,growth_factor,predicted_load,alert_status,recommendation_engine
Andhra Pradesh,Ananthapur,High Load,13938,0.8410101879753192,0.1589898120246807,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",15.41965456804621,79.63937810151954,1.0541168988591605,14692,Normal,Stable: Monitor weekly.
Andhra Pradesh,Ananthapuramu,High Load,16153,0.8707979941806475,0.1292020058193524,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",16.547527316091852,81.60838557093169,1.2439819704323989,20094,High Risk,CRITICAL: Deploy 20 additional mobile units.
Andhra Pradesh,Annamayya,Medium Load,1154,0.5441941074523396,0.4558058925476603,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,18.330417345996477,81.08136706932258,1.2164885281600843,1403,Normal,Stable: Monitor weekly.
Andhra Pradesh,Bapatla,Medium Load,894,0.540268456375839,0.4597315436241611,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,15.49883391083667,79.34678501138535,1.0924678221356552,976,Normal,Stable: Monitor weekly.
Andhra Pradesh,Chittoor,High Load,28193,0.6659454474514951,0.3340545525485049,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",17.097911507944456,78.4338857288415,1.0863649934414201,30627,High Risk,CRITICAL: Deploy 30 additional mobile units.
Andhra Pradesh,Cuddapah,High Load,16826,0.689587543088078,0.310412456911922,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",13.962370565656974,79.01311078820387,1.086680901970687,18284,High Risk,CRITICAL: Deploy 18 additional mobile units.
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,Medium Load,1076,0.5148698884758365,0.4851301115241636,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,14.84619495827041,78.72154060227994,1.1108484485919077,1195,Normal,Stable: Monitor weekly.
Andhra Pradesh,East Godavari,High Load,30115,0.6131495932259671,0.3868504067740329,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",14.57803875524955,77.4504659481818,1.1549512863264475,34781,High Risk,CRITICAL: Deploy 34 additional mobile units.
Andhra Pradesh,Eluru,Medium Load,1392,0.4489942528735632,0.5510057471264368,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,13.499369673667069,82.17861194868016,1.1363890037284232,1581,Normal,Stable: Monitor weekly.
Andhra Pradesh,Guntur,High Load,31262,0.6287825475017593,0.3712174524982407,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",15.548865668679312,79.1616332357984,1.1082458280396084,34645,High Risk,CRITICAL: Deploy 34 additional mobile units.
Andhra Pradesh,Hyderabad,Medium Load,12333,0.1742479526473688,0.8257520473526312,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,16.808236413465348,78.33126943932531,1.1723705789444758,14458,Normal,Stable: Monitor weekly.
Andhra Pradesh,K.V. Rangareddy,Medium Load,77,0.4935064935064935,0.5064935064935064,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,18.15980591975113,81.17172507207775,1.0778987721304083,82,Normal,Stable: Monitor weekly.
Andhra Pradesh,K.V.Rangareddy,Medium Load,91,0.2857142857142857,0.7142857142857143,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,13.857055011561297,79.32790387892463,1.1084289297070438,100,Normal,Stable: Monitor weekly.
Andhra Pradesh,Kakinada,Low Load,1167,0.493573264781491,0.506426735218509,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,17.805591537810823,81.96366011145705,1.1232723686587383,1310,Normal,Stable: Monitor weekly.
Andhra Pradesh,Karim Nagar,Medium Load,249,0.2128514056224899,0.7871485943775101,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,15.747007556249349,80.30705694605354,1.1412139968434072,284,Normal,Stable: Monitor weekly.
Andhra Pradesh,Karimnagar,Medium Load,2358,0.2217981340118744,0.7782018659881256,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,14.245169730460375,82.19584313068488,1.2070351922786027,2846,Normal,Stable: Monitor weekly.
Andhra Pradesh,Khammam,Medium Load,4324,0.2789084181313598,0.7210915818686402,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,14.568358506917217,81.95365887067562,1.089934756431672,4712,Normal,Stable: Monitor weekly.
Andhra Pradesh,Krishna,High Load,26706,0.6297461244664121,0.3702538755335879,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",16.658233244961842,80.27868397439428,1.1528468876827223,30787,High Risk,CRITICAL: Deploy 30 additional mobile units.
Andhra Pradesh,Kurnool,High Load,38359,0.7232722438019761,0.2767277561980239,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",15.973442555082542,78.39334905858878,1.1684829137724084,44821,High Risk,CRITICAL: Deploy 44 additional mobile units.
Andhra Pradesh,Mahabub Nagar,Medium Load,734,0.103542234332425,0.896457765667575,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,14.292640160027542,78.34243104535088,1.0592900825439995,777,Normal,Stable: Monitor weekly.
Andhra Pradesh,Mahabubnagar,Low Load,42,0.2142857142857142,0.7857142857142857,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,14.342191310721272,81.13792236783377,1.1715089703802877,49,Normal,Stable: Monitor weekly.
Andhra Pradesh,Mahbubnagar,Medium Load,1572,0.1844783715012722,0.8155216284987278,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,15.160626295833652,77.52921338281698,1.0841048247374583,1704,Normal,Stable: Monitor weekly.
Andhra Pradesh,Medak,Medium Load,2642,0.220666161998486,0.779333838001514,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,18.255513150704058,81.65892942481712,1.0630103185970559,2808,Normal,Stable: Monitor weekly.
Andhra Pradesh,N. T. R,Low Load,1463,0.3636363636363636,0.6363636363636364,Balanced biometric usage across age groups.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,18.048761415976067,82.21453911323218,1.2397771074506667,1813,Normal,Stable: Monitor weekly.
Andhra Pradesh,Nalgonda,Medium Load,3282,0.1505179768433882,0.8494820231566118,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,14.279476246097436,79.22121009451328,1.243126406614912,4079,Normal,Stable: Monitor weekly.
Andhra Pradesh,Nandyal,Medium Load,1384,0.5679190751445087,0.4320809248554913,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,17.201192378520457,80.72010309026895,1.2116794696232922,1676,Normal,Stable: Monitor weekly.
Andhra Pradesh,Nellore,High Load,11666,0.4606548945654037,0.5393451054345962,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",14.179479531699275,81.31916562495309,1.1109227538346742,12960,Normal,Stable: Monitor weekly.
Andhra Pradesh,Nizamabad,Medium Load,1234,0.2658022690437601,0.7341977309562399,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,14.532202859183304,78.35908807411312,1.0695344228012769,1319,Normal,Stable: Monitor weekly.
Andhra Pradesh,Palnadu,Low Load,1306,0.5719754977029097,0.4280245022970903,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,16.09487211446707,80.20469967420851,1.1868466053024314,1550,Normal,Stable: Monitor weekly.
Andhra Pradesh,Parvathipuram Manyam,Low Load,1137,0.4678979771328056,0.5321020228671943,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,16.310431039189055,77.69743418698877,1.1380304987479204,1293,Normal,Stable: Monitor weekly.
Andhra Pradesh,Prakasam,High Load,19234,0.6234792554850785,0.3765207445149215,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",17.7973043131519,78.56800021294353,1.0744076469689559,20665,High Risk,CRITICAL: Deploy 20 additional mobile units.
Andhra Pradesh,Rangareddi,Medium Load,6925,0.1842599277978339,0.815740072202166,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,14.057574606414022,81.68374039934488,1.149035382022254,7957,Normal,Stable: Monitor weekly.
Andhra Pradesh,Sri Potti Sriramulu Nellore,Medium Load,1451,0.5720192970365265,0.4279807029634734,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,18.188257491148768,81.55063808632725,1.0568777042230437,1533,Normal,Stable: Monitor weekly.
Andhra Pradesh,Sri Sathya Sai,Medium Load,1711,0.5949736995908825,0.4050263004091174,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,17.45758037362439,80.5162099031951,1.2318640804157563,2107,Normal,Stable: Monitor weekly.
Andhra Pradesh,Srikakulam,High Load,29982,0.7665932893069175,0.2334067106930825,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",16.164286853045695,77.67493379955704,1.1017559963200034,33032,High Risk,CRITICAL: Deploy 33 additional mobile units.
Andhra Pradesh,Tirupati,Medium Load,1554,0.4948519948519948,0.5051480051480052,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,15.452266065353493,79.10344258506157,1.1825044568707965,1837,Normal,Stable: Monitor weekly.
Andhra Pradesh,Visakhapatnam,High Load,36998,0.5906265203524514,0.4093734796475485,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",14.708768918801631,80.85710056844292,1.1123422152178821,41154,High Risk,CRITICAL: Deploy 41 additional mobile units.
Andhra Pradesh,Vizianagaram,High Load,18508,0.648476334558029,0.351523665441971,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",15.889378675393854,77.64523107953823,1.1540136042355622,21358,High Risk,CRITICAL: Deploy 21 additional mobile units.
Andhra Pradesh,Warangal,Medium Load,5595,0.233958891867739,0.7660411081322609,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,14.510916009749057,80.65629381829797,1.159342055868656,6486,Normal,Stable: Monitor weekly.
Andhra Pradesh,West Godavari,High Load,25341,0.6182076476855688,0.3817923523144311,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",13.790654297451502,81.49603457024384,1.0869708911051055,27544,High Risk,CRITICAL: Deploy 27 additional mobile units.
Andhra Pradesh,Y. S. R,Medium Load,1051,0.5299714557564225,0.4700285442435775,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,15.885732635069871,79.64293288663323,1.2439169255529117,1307,Normal,Stable: Monitor weekly.
Arunachal Pradesh,Anjaw,Low Load,134,0.4104477611940298,0.5895522388059702,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,28.487223353978553,95.69404289777545,1.205026564672223,161,Normal,Stable: Monitor weekly.
Arunachal Pradesh,Changlang,Low Load,823,0.5880923450789793,0.4119076549210206,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,27.75342762370658,95.25404845767719,1.2378997883128378,1018,Normal,Stable: Monitor weekly.
Arunachal Pradesh,Dibang Valley,Low Load,57,0.2807017543859649,0.7192982456140351,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,28.407195891987374,94.02108481050826,1.2289654700855297,70,Normal,Stable: Monitor weekly.
Arunachal Pradesh,East Kameng,Low Load,459,0.4335511982570806,0.5664488017429193,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,29.345889959065474,95.61227806482079,1.169579995762217,536,Normal,Stable: Monitor weekly.
Arunachal Pradesh,East Siang,Low Load,266,0.5075187969924813,0.4924812030075188,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,28.685355503975277,95.77174518728272,1.2343748470046234,328,Normal,Stable: Monitor weekly.
Arunachal Pradesh,Kamle,Low Load,25,0.4,0.6,Balanced biometric usage across age groups.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,29.311882602879408,95.34508893014511,1.0676985004103838,26,Normal,Stable: Monitor weekly.
Arunachal Pradesh,Kra Daadi,Low Load,197,0.3807106598984771,0.6192893401015228,Balanced biometric usage across age groups.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,29.221039985091018,95.31241438500786,1.089196572483829,214,Normal,Stable: Monitor weekly.
Arunachal Pradesh,Kurung Kumey,Low Load,629,0.1478537360890302,0.8521462639109698,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,28.7504223152809,95.07583413464555,1.0590454577821076,666,Normal,Stable: Monitor weekly.
Arunachal Pradesh,Leparada,Low Load,1,1.0,0.0,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,28.968149918672925,93.69581531587922,1.1150660661526528,1,Normal,Stable: Monitor weekly.
Arunachal Pradesh,Lohit,Low Load,507,0.2426035502958579,0.757396449704142,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,29.352612277596787,95.8355305832357,1.1277354579378964,571,Normal,Stable: Monitor weekly.
Arunachal Pradesh,Longding,Low Load,290,0.506896551724138,0.493103448275862,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,26.79774184910368,95.69745025169429,1.1042698063547791,320,Normal,Stable: Monitor weekly.
Arunachal Pradesh,Lower Dibang Valley,Low Load,197,0.4060913705583756,0.5939086294416244,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,27.096609602420337,94.22535656277742,1.2157475018303858,239,Normal,Stable: Monitor weekly.
Arunachal Pradesh,Lower Siang,Low Load,39,0.6923076923076923,0.3076923076923077,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,28.940524768874823,93.70227968814493,1.121350665338718,43,Normal,Stable: Monitor weekly.
Arunachal Pradesh,Lower Subansiri,Low Load,248,0.3911290322580645,0.6088709677419355,Balanced biometric usage across age groups.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,29.163901072357188,95.71640253387322,1.1061869019374762,274,Normal,Stable: Monitor weekly.
Arunachal Pradesh,Namsai,Low Load,487,0.4373716632443531,0.5626283367556468,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,28.23240320128251,93.2391576151505,1.1585392166316497,564,Normal,Stable: Monitor weekly.
Arunachal Pradesh,Pakke Kessang,Low Load,18,0.6666666666666666,0.3333333333333333,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,27.57111439952474,95.07078075512723,1.0781848449949525,19,Normal,Stable: Monitor weekly.
Arunachal Pradesh,Papum Pare,Low Load,1064,0.3261278195488721,0.6738721804511278,Balanced biometric usage across age groups.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,29.653558534082272,95.11544058105001,1.210439396150808,1287,Normal,Stable: Monitor weekly.
Arunachal Pradesh,Shi-Yomi,Low Load,27,0.5555555555555556,0.4444444444444444,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,27.48941074319248,95.12201710929884,1.0649101287359541,28,Normal,Stable: Monitor weekly.
Arunachal Pradesh,Siang,Low Load,117,0.4615384615384615,0.5384615384615384,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,28.32995613914757,95.55953618545342,1.2473773873201035,145,Normal,Stable: Monitor weekly.
Arunachal Pradesh,Tawang,Low Load,198,0.6060606060606061,0.3939393939393939,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,27.030941916480877,95.50308370750608,1.2044489538593315,238,Normal,Stable: Monitor weekly.
Arunachal Pradesh,Tirap,Low Load,180,0.5611111111111111,0.4388888888888889,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,28.333799736028332,96.10897601157698,1.0897431363068346,196,Normal,Stable: Monitor weekly.
Arunachal Pradesh,Upper Siang,Low Load,127,0.4251968503937008,0.5748031496062992,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,27.73561649811606,95.11786567940185,1.0511044234247204,133,Normal,Stable: Monitor weekly.
Arunachal Pradesh,Upper Subansiri,Low Load,559,0.3881932021466905,0.6118067978533095,Balanced biometric usage across age groups.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,29.506084316530053,93.52752918397204,1.213092285690967,678,Normal,Stable: Monitor weekly.
Arunachal Pradesh,West Kameng,Low Load,613,0.3066884176182708,0.6933115823817292,Balanced biometric usage across age groups.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,29.521685461709353,95.28365716690244,1.1913714687695234,730,Normal,Stable: Monitor weekly.
Arunachal Pradesh,West Siang,Low Load,389,0.5475578406169666,0.4524421593830334,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,26.913511177315517,94.12289070084044,1.1958014336081975,465,Normal,Stable: Monitor weekly.
Assam,Bajali,Low Load,9,0.2222222222222222,0.7777777777777778,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,26.824516265935845,91.63205180440632,1.204254069337189,10,Normal,Stable: Monitor weekly.
Assam,Baksa,Low Load,1868,0.7178800856531049,0.2821199143468951,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,26.44651138052882,92.46764917085888,1.064808930346818,1989,Normal,Stable: Monitor weekly.
Assam,Barpeta,Medium Load,10808,0.8098630643967432,0.1901369356032568,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,26.562746553302432,91.56722610143754,1.1216931457088546,12123,Normal,Stable: Monitor weekly.
Assam,Biswanath,Low Load,846,0.6252955082742316,0.3747044917257683,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,27.31461041845713,94.3504669075322,1.073173811905026,907,Normal,Stable: Monitor weekly.
Assam,Bongaigaon,Low Load,4185,0.7201911589008363,0.2798088410991636,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,27.606633565857074,93.67895549522878,1.2226206851751187,5116,Normal,Stable: Monitor weekly.
Assam,Cachar,Medium Load,4523,0.4903824894981207,0.5096175105018793,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,25.090258720391894,93.70478958778708,1.1746596253655115,5312,Normal,Stable: Monitor weekly.
Assam,Charaideo,Low Load,621,0.6747181964573269,0.3252818035426731,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,24.773760749376404,91.496370654587,1.11617960497053,693,Normal,Stable: Monitor weekly.
Assam,Chirang,Low Load,2295,0.7032679738562092,0.2967320261437908,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,25.670830657448622,92.895929571214,1.0627116700572048,2438,Normal,Stable: Monitor weekly.
Assam,Darrang,Low Load,1610,0.4142857142857143,0.5857142857142857,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,27.01122225342338,93.47988612981952,1.1121964643431326,1790,Normal,Stable: Monitor weekly.
Assam,Dhemaji,Low Load,2462,0.6592201462225833,0.3407798537774167,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,26.037708119130244,92.25087999884501,1.1150366644053495,2745,Normal,Stable: Monitor weekly.
Assam,Dhubri,Medium Load,8422,0.8032533839943007,0.1967466160056993,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,27.691373500473134,92.70854390670793,1.1959212356676128,10072,Normal,Stable: Monitor weekly.
Assam,Dibrugarh,Low Load,3998,0.3834417208604302,0.6165582791395697,Balanced biometric usage across age groups.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,26.054161072989025,91.92087146357501,1.1775114942710427,4707,Normal,Stable: Monitor weekly.
Assam,Dima Hasao,Low Load,6,0.3333333333333333,0.6666666666666666,Balanced biometric usage across age groups.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,27.084428646249787,93.51104667734447,1.2274425485152654,7,Normal,Stable: Monitor weekly.
Assam,Goalpara,Low Load,1451,0.4934527911784976,0.5065472088215024,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,25.362308838366282,91.67714313684753,1.1444429850323898,1660,Normal,Stable: Monitor weekly.
